Image_Name,ID,Count
103440_YY-ART_1569010_t0_nan_MGG,103440,1970
111435_111435_t0_nan_MGG,111435,5302
111878_111878_18-39692_18-39692_MGG,111878,3688
1128767_1128767_19-11301_19-11301_MGG,1128767,1541
1144687_YY-ART_1374292_17-29418_17-29418_MGG,1144687,3683
114850_114850_19-13625_19-13625_MGG,114850,599
115708_115708_16-11476_16-11476_MGG,115708,2595
1161187_1161187_18-23554_18-23554_MGG,1161187,9355
11717_11717_17-35082_17-35082_MGG,11717,4139
123997_123997_t0_nan_MGG,123997,1615
13106895_YY-ART_376002_t0_nan_MGG,13106895,8031
137140_137140_t2_nan_MGG,137140,1832
1392543_1392543_20-17554_20-17554_MGG,1392543,3090
1414537_YY-ART_90446_19-17088_19-17088_MGG,1414537,731
1418061_YY-ART_122595_15-18222_15-18222_MGG,1418061,1470
1418151_YY-ART_44787_16-10182_16-10182_MGG,1418151,294
142782_142782_16-27744_16-27744_MGG,142782,9771
1428187_1428187_20-6730_20-6730_MGG,1428187,6612
1443593_1443593_16-34842_16-34842_MGG,1443593,4058
1443902_1443902_18-28589_18-28589_MGG,1443902,8104
146480_146480_16-27767_16-27767_MGG,146480,7837
146504_146504_20-21553_20-21553_MGG,146504,2722
1466559_1466559_t0_nan_MGG,1466559,2876
1484_1484_19-36328_19-36328_MGG,1484,4207
1487180_1487180_18-25013_18-25013_MGG,1487180,7922
1490244_YY-ART_5192185_19-35954_19-35954_MGG,1490244,3333
149069_149069_t0_nan_MGG,149069,527
1494790_YY-ART_1439486_t5_nan_MGG,1494790,914
1501188_YY-ART_5149066_20-14817_20-14817_MGG,1501188,2680
1502873_1502873_20-17492_20-17492_MGG,1502873,4313
1504203_1504203_20-25311_20-25311_MGG,1504203,2099
1505177_1505177_19-5952_19-5952_MGG,1505177,752
1517225_YY-ART_1948208_18-44113_18-44113_MGG,1517225,12221
1525551_YY-ART_1568741_19-12579_19-12579_MGG,1525551,1976
152577_152577_18-42751_18-42751_MGG,152577,7104
1542030_YY-ART_5237566_t0_nan_MGG,1542030,5359
1549948_YY-ART_1912216_t0_nan_MGG,1549948,2285
1557176_1557176_16-23705_16-23705_MGG,1557176,1576
1582317_1582317_t0_nan_MGG,1582317,16324
1587240_1587240_20-4633_20-4633_MGG,1587240,5801
1587990_YY-ART_5089511_t0_nan_MGG,1587990,8800
15978_YY-ART_84439_16-9894_16-9894_MGG,15978,1879
1608136_1608136_20-12312_20-12312_MGG,1608136,5576
1620529_1620529_t1_nan_MGG,1620529,1055
16239_YY-ART_1622713_18-39710_18-39710_MGG,16239,975
1624409_1624409_19-20479_19-20479_MGG,1624409,6729
1631890_1631890_20-12736_20-12736_MGG,1631890,6113
1632645_1632645_19-35420_19-35420_MGG,1632645,3289
1653695_YY-ART_209451_t4_nan_MGG,1653695,973
1654323_YY-ART_5156108_19-17089_19-17089_MGG,1654323,701
1656603_1656603_17-33679_17-33679_MGG,1656603,4372
165857_YY-ART_431130_17-26072_17-26072_MGG,165857,2821
16642_16642_t0_nan_MGG,16642,1256
1679057_YY-ART_1583014_20-22168_20-22168_MGG,1679057,2082
1679238_1679238_t4_nan_MGG,1679238,3040
1686133_YY-ART_395203_17-8473_17-8473_MGG,1686133,2860
168887_168887_t0_nan_MGG,168887,3910
1694571_YY-ART_5060038_t0_nan_MGG,1694571,5686
1696245_YY-ART_5232648_t0_nan_MGG,1696245,5249
1709641_1709641_t0_nan_MGG,1709641,1355
171054_171054_16-21245_16-21245_MGG,171054,1574
1714115_1714115_t0_nan_MGG,1714115,1437
1722746_1722746_15-4831_15-4831_MGG,1722746,2280
1735509_1735509_t0_nan_MGG,1735509,3603
1746431_1746431_t0_nan_MGG,1746431,756
1753281_1753281_t3_nan_MGG,1753281,1328
1764597_1764597_19-42464_19-42464_MGG,1764597,4509
1780511_1780511_t0_nan_MGG,1780511,2745
1788011_1788011_16-8755_16-8755_MGG,1788011,2189
1794085_YY-ART_216668_20-3487_20-3487_MGG,1794085,5123
1801714_YY-ART_260618_t3_nan_MGG,1801714,2072
18047758_YY-ART_420075_16-18727_16-18727_MGG,18047758,158
1815613_1815613_16-14390_16-14390_MGG,1815613,1309
1817377_1817377_16-17280_16-17280_MGG,1817377,2095
181885_YY-ART_1360758_15-15537_15-15537_MGG,181885,1708
1820744_1820744_17-8706_17-8706_MGG,1820744,2908
1827083_1827083_16-20137_16-20137_MGG,1827083,1511
1827619_1827619_t0_nan_MGG,1827619,2252
1828466_1828466_16-28888_16-28888_MGG,1828466,4815
1829403_YY-ART_1938331_t5_nan_MGG,1829403,701
1832337_1832337_16-22141_16-22141_MGG,1832337,1516
1832508_1832508_t0_nan_MGG,1832508,838
1832979_1832979_18-3852_18-3852_MGG,1832979,3057
1837998_1837998_17-17894_17-17894_MGG,1837998,2201
1838771_YY-ART_1741662_16-25075_16-25075_MGG,1838771,683
1839239_1839239_t0_nan_MGG,1839239,2952
1846658_1846658_t0_nan_MGG,1846658,3449
1851894_1851894_t1_nan_MGG,1851894,1874
1852575_1852575_19-32108_19-32108_MGG,1852575,6819
1852575_YY-ART_1528599_18-47482_18-47482_MGG,1852575,406
186539_YY-ART_1955960_19-5309_19-5309_MGG,186539,5172
1866443_1866443_19-47383_19-47383_MGG,1866443,5975
1866652_1866652_17-4262_17-4262_MGG,1866652,1405
1870390_1870390_t0_nan_MGG,1870390,3376
1878398_YY-ART_5102257_t4_nan_MGG,1878398,5116
1881584_YY-ART_555711_19-6791_19-6791_MGG,1881584,1249
1897251_1897251_t0_nan_MGG,1897251,3704
1899884_1899884_t0_nan_MGG,1899884,5346
1902580_1902580_t0_nan_MGG,1902580,2093
1910690_YY-ART_1920337_t0_nan_MGG-061,1910690,26787
1913143_1913143_t1_nan_MGG,1913143,3549
1914642_1914642_20-40255_20-40255_MGG-018,1914642,17678
1917241_1917241_19-23707_19-23707_MGG,1917241,3145
1920432_1920432_t1_nan_MGG,1920432,5608
1921194_1921194_t0_nan_MGG,1921194,1740
1924450_1924450_t0_nan_MGG,1924450,3675
1940338_1940338_19-43810_19-43810_MGG,1940338,7482
1940731_1940731_t0_nan_MGG,1940731,1099
1944628_1944628_18-39447_18-39447_MGG,1944628,6864
194521_194521_15-9512_15-9512_MGG,194521,3129
1953250_1953250_19-2731_19-2731_MGG,1953250,2811
1976049_1976049_19-31755_19-31755_MGG,1976049,2781
1984604_YY-ART_5006717_17-27054_17-27054_MGG,1984604,4381
1988559_1988559_20-8880_20-8880_MGG,1988559,2202
1995474_1995474_t1_nan_MGG,1995474,10095
1996027_1996027_20-8019_20-8019_MGG,1996027,3755
1997988_1997988_20-11770_20-11770_MGG,1997988,2677
2004615_2004615_20-22908_20-22908_MGG,2004615,960
2006050_2006050_t0_nan_MGG,2006050,3225
2020032_YY-ART_1788189_t0_nan_MGG,2020032,1233
2020648_YY-ART_1780719_15-31474_15-31474_MGG,2020648,2058
2022333_YY-ART_1739433_t0_nan_MGG,2022333,1099
2022333_YY-ART_346502_t0_nan_MGG,2022333,1868
